"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel"
1,1,2,2,"true","false",1024,128,1.44438915952277e-09
10,5,1,2,"true","true",1024,512,1.91568472835564e-09
4,1,16,2,"true","false",1024,32,8.93390890883939e-10
2,2,1,2,"true","true",1024,1024,3.95541574509845e-09
4,1,2,4,"true","true",1024,4,3.2010213190339e-10
8,2,2,4,"true","false",32,2,2.91389901904426e-10
4,1,16,4,"true","false",32,32,1.04963729013569e-08
12,6,4,4,"true","false",512,32,3.92277819177871e-10
3,3,8,4,"true","true",64,64,1.67351851626047e-08
9,3,1,4,"true","false",128,4,2.01134829123216e-10
5,5,1,4,"true","true",256,4,1.26472206076233e-10
12,6,16,4,"true","true",32,1,7.79682426909208e-10
6,3,1,2,"true","true",1024,2,1.63416574827825e-10
10,5,1,2,"true","true",1024,512,1.91568472835564e-09
1,1,2,2,"true","true",32,32,1.08322716994549e-08
3,3,1,2,"true","false",64,32,1.61789699259498e-09
20,5,1,4,"true","false",128,8,2.02324667443967e-10
2,1,4,2,"true","false",512,256,4.54742675095456e-09
4,1,16,2,"true","false",32,16,5.42875322124382e-09
9,3,4,4,"true","true",128,128,3.68688073073323e-09
8,4,8,2,"true","true",128,8,5.90588527964205e-10
4,1,1,2,"true","false",1024,512,2.35433521955069e-09
2,1,2,4,"true","true",256,8,2.68316784671094e-10
24,6,2,4,"true","false",256,64,6.67764787600949e-10
8,4,2,4,"true","false",32,1,1.96840319173404e-10
8,4,2,2,"true","false",32,32,2.83708886714168e-09
2,2,1,2,"true","true",128,4,1.57042856566909e-10
5,5,8,4,"true","false",256,64,3.87871377717169e-09
3,3,1,2,"true","true",1024,1024,3.65382794145946e-09
9,3,16,2,"true","true",32,32,8.6114476861619e-09
24,6,2,2,"true","true",256,8,1.48796701342925e-10
3,1,16,2,"true","true",32,32,1.39870976079442e-08
12,3,1,4,"true","false",512,128,7.68418719667966e-10
1,1,16,2,"true","false",1024,64,3.24612723697366e-09
3,1,2,4,"true","false",32,32,5.97597978154357e-09
9,3,8,2,"true","false",512,8,3.29190173791634e-10
5,5,16,4,"true","false",64,1,1.48835060000028e-09
4,4,1,4,"true","false",64,16,7.37589349212132e-10
12,3,1,2,"true","true",1024,2,2.36252040121104e-10
5,5,16,2,"true","false",128,16,3.18100441969631e-09
15,5,4,2,"true","true",256,4,1.97305905355413e-10
2,1,8,4,"true","true",32,16,6.59114102544435e-09
3,1,8,4,"true","false",512,8,5.49947845307813e-10
16,4,2,2,"true","false",128,64,1.29768275353705e-09
24,6,1,2,"true","true",128,4,1.42583344716509e-10
2,2,4,4,"true","false",512,32,9.33267179459488e-10
8,4,8,4,"true","false",128,1,3.87682485012823e-10
3,3,16,4,"true","true",32,8,6.72404729731266e-09
8,4,1,4,"true","true",1024,16,1.68307706694885e-10
20,5,2,2,"true","true",64,8,3.43982958621619e-10
20,5,16,2,"true","false",512,32,6.58337948944456e-10
6,2,8,4,"true","false",512,128,1.66637689338753e-09
6,3,2,4,"true","false",512,32,2.55525537716809e-10
4,1,16,4,"true","false",256,16,9.93835091772837e-10
4,2,2,4,"true","true",64,64,3.78842136400005e-09
3,3,4,4,"true","true",512,4,5.00250223324875e-10
5,5,4,4,"true","false",1024,256,3.06432341704255e-09
4,4,2,2,"true","false",128,32,1.4651293796384e-09
1,1,4,2,"true","true",1024,2,7.83487805712242e-10
3,1,1,4,"true","false",512,16,3.32757456789674e-10
20,5,4,2,"true","true",1024,32,1.96147518660309e-10
8,4,16,4,"true","false",256,128,7.06703050428907e-09
12,3,8,4,"true","true",128,64,2.06837756031513e-09
9,3,4,2,"true","false",1024,1,2.90210803575518e-10
18,6,8,2,"true","false",512,4,3.74375223260754e-10
15,5,16,2,"true","true",128,8,7.69233530942708e-10
2,2,16,4,"true","false",64,2,1.4031700287542e-09
5,5,1,2,"true","true",256,16,2.03224868629388e-10
9,3,1,2,"true","false",512,8,2.06086316056371e-10
6,2,4,4,"true","false",512,512,4.29284272888879e-09
2,2,1,2,"true","false",32,8,9.46312771833467e-10
4,1,8,2,"true","false",512,2,4.59584815099093e-10
6,6,1,2,"true","false",256,256,3.16653510596074e-09
18,6,16,4,"true","true",256,1,6.06803988389256e-10
12,4,8,4,"true","true",64,2,2.98092429914491e-10
18,6,8,2,"true","false",512,256,3.44785048091751e-09
6,2,16,2,"true","true",1024,1024,1.18539383868614e-08
12,6,8,2,"true","true",512,16,3.69352207889029e-10
20,5,2,4,"true","true",1024,1024,3.61401635671773e-09
4,4,1,4,"true","true",256,8,1.27521100601238e-10
4,2,2,2,"true","true",512,128,9.74508212317364e-10
24,6,8,2,"true","true",64,8,5.21260736469512e-10
8,2,8,4,"true","false",1024,4,3.84849807491841e-10
4,4,16,4,"true","false",32,1,1.3858853958278e-09
16,4,2,2,"true","true",1024,16,1.97976434720258e-10
24,6,2,4,"true","true",64,16,6.26831500905382e-10
4,2,1,4,"true","true",1024,512,1.98130478857090e-09
3,1,8,4,"true","false",512,4,5.42036271400491e-10
8,2,2,2,"true","true",64,8,4.61838183240946e-10
9,3,8,4,"true","false",512,1,3.41821566072408e-10
6,3,1,2,"true","false",512,8,1.58346456235605e-10
16,4,4,2,"true","false",256,2,1.60440108458654e-10
12,4,2,4,"true","true",512,2,2.06522956848303e-10
12,4,8,2,"true","false",256,256,5.50905260216321e-09
12,3,16,4,"true","false",128,16,1.00547458352808e-09
4,2,1,2,"true","true",256,16,2.93959447171833e-10
8,4,2,2,"true","true",64,4,2.30921595449151e-10
6,6,1,4,"true","false",128,16,3.51808115363844e-10
4,2,1,2,"true","true",64,64,3.78769906195295e-09
8,4,8,2,"true","true",512,2,3.94414519915607e-10
5,5,2,4,"true","false",64,8,7.28284790409772e-10
4,2,8,2,"true","false",1024,16,5.66540080965913e-10
2,2,1,2,"true","true",256,8,1.577629269354e-10
12,4,2,2,"true","false",128,128,3.52972949764237e-09
1,1,2,2,"true","true",512,16,4.76914291945906e-10
2,2,8,2,"true","false",128,32,4.69436189452647e-09
16,4,2,2,"true","false",1024,2,2.13876384521448e-10
4,4,2,2,"true","true",32,32,5.67435170144307e-09
12,6,16,2,"true","true",512,8,8.53295053715626e-10
12,3,1,4,"true","false",512,512,2.97698557238484e-09
15,5,1,2,"true","true",64,32,1.43725898189588e-09
4,2,1,4,"true","false",64,8,5.13984785876306e-10
8,2,16,4,"true","true",512,256,4.11860911617455e-09
4,4,4,2,"true","true",1024,128,1.49561620477587e-09
5,5,4,2,"true","false",64,16,2.40943700531871e-09
8,2,4,2,"true","false",1024,32,2.56471222248998e-10
10,5,1,2,"true","false",128,4,1.44753782741611e-10
4,2,1,2,"true","true",256,4,1.80536216891147e-10
20,5,2,2,"true","true",128,64,1.28045889876986e-09
9,3,1,4,"true","true",256,4,2.01396372004422e-10
6,6,2,2,"true","true",32,32,5.32339157497643e-09
2,1,1,2,"true","false",32,32,5.29712215308131e-09
3,1,2,2,"true","true",64,16,1.61353421477853e-09
2,1,16,4,"true","true",64,32,1.072628278768e-08
20,5,16,4,"true","false",64,2,4.47155512996973e-10
18,6,8,4,"true","false",512,1,3.8318119097436e-10
16,4,16,4,"true","false",256,1,5.10887323533205e-10
10,5,8,2,"true","false",64,1,4.16444447706783e-10
4,1,8,2,"true","true",64,16,1.77704901006917e-09
3,3,16,2,"true","true",512,1,1.28555463329443e-09
4,4,8,2,"true","false",64,32,7.56876052896103e-09
16,4,8,2,"true","false",1024,2,3.29604339612145e-10
12,4,2,4,"true","true",128,16,4.94817150769151e-10
18,6,1,4,"true","true",128,128,2.99829478646391e-09
18,6,1,2,"true","true",128,4,1.66592205877823e-10
10,5,1,2,"true","false",64,16,7.23491757540424e-10
10,5,16,2,"true","true",128,1,8.53653582648226e-10
9,3,4,4,"true","true",512,8,2.31573959848735e-10
4,2,16,2,"true","true",512,16,8.17981393618772e-10
18,6,1,4,"true","false",1024,8,1.97656212879105e-10
1,1,16,2,"true","true",64,4,3.23306706065087e-09
6,6,1,2,"true","true",256,256,3.1646003757214e-09
2,2,8,2,"true","false",512,256,9.5752326398743e-09
2,2,1,2,"true","false",256,4,1.60508284456e-10
12,6,8,2,"true","false",512,4,4.89464986395079e-10
8,2,8,4,"true","false",1024,1,4.11630242273052e-10
12,6,4,4,"true","true",256,128,2.63605065675476e-09
12,4,2,2,"true","true",256,1,2.07972087531464e-10
5,5,4,4,"true","true",32,1,5.42933483967314e-10
10,5,8,4,"true","false",128,64,3.87364528755093e-09
15,5,4,4,"true","false",32,16,1.58086657501463e-09
2,2,1,2,"true","true",128,2,1.56879662240458e-10
9,3,1,4,"true","false",32,32,3.11402308299814e-09
4,1,16,2,"true","false",64,32,5.45616121544394e-09
8,2,4,4,"true","false",64,8,4.60390606463685e-10
4,1,2,4,"true","false",256,64,1.21238660762396e-09
4,4,2,2,"true","false",128,64,2.91669411741835e-09
2,2,8,2,"true","false",512,2,8.41171942676362e-10
8,2,2,4,"true","false",64,1,2.07317273761215e-10
3,1,8,4,"true","false",512,1,5.69466533039937e-10
8,4,1,4,"true","false",512,4,1.53027187326652e-10
6,3,8,2,"true","false",256,128,4.23795171992261e-09
6,6,4,2,"true","false",32,2,7.27757868313323e-10
20,5,2,4,"true","false",64,4,2.06280464320675e-10
15,5,1,2,"true","true",256,4,1.77499534469301e-10
6,3,1,2,"true","false",1024,4,1.56904997776166e-10
10,5,2,4,"true","false",512,512,3.23384702964731e-09
4,2,16,2,"true","false",32,16,7.60830848088803e-09
12,6,1,2,"true","false",64,4,2.11225504648213e-10
16,4,8,4,"true","true",1024,64,3.94178908525116e-10
18,6,2,2,"true","false",256,4,1.91091313779675e-10
4,1,4,2,"true","false",1024,32,3.24274492774496e-10
4,4,8,2,"true","false",256,64,3.92248473927871e-09
4,1,4,2,"true","false",32,1,3.52237050198163e-10
6,6,1,4,"true","false",512,256,1.65316890680877e-09
5,5,4,4,"true","true",1024,64,8.10835663143821e-10
3,1,16,2,"true","true",32,32,1.39870976079442e-08
4,4,1,4,"true","false",512,512,3.29359850297627e-09
20,5,1,2,"true","true",1024,512,1.68071683725578e-09
9,3,8,2,"true","false",256,4,3.27227598226724e-10
6,3,16,4,"true","true",128,1,6.83464163256680e-10
4,4,2,4,"true","true",512,1,2.80905009967429e-10
6,3,4,4,"true","true",512,128,1.49398994792086e-09
8,4,4,2,"true","true",256,64,1.31207840143673e-09
15,5,16,2,"true","true",128,2,6.2978655379221e-10
8,4,2,2,"true","true",32,32,2.83711718859376e-09
6,3,1,2,"true","false",128,2,1.60588024208345e-10
8,2,16,4,"true","false",256,8,5.11563295288501e-10
12,4,1,2,"true","false",512,2,1.81925270589845e-10
6,3,4,2,"true","true",128,2,2.88698187730835e-10
1,1,4,4,"true","true",128,4,8.49397911268672e-10
16,4,16,2,"true","true",32,8,1.67483593674559e-09
1,1,8,4,"true","true",512,32,1.93607342898114e-09
4,1,8,2,"true","true",512,2,4.64378505969261e-10
5,5,4,4,"true","true",256,256,1.07456513329323e-08
6,6,16,4,"true","false",128,2,1.36674593972604e-09
2,1,8,4,"true","false",64,8,1.84759287483144e-09
5,5,8,2,"true","false",64,1,8.05383990522709e-10
15,5,1,4,"true","false",256,2,1.72496717491874e-10
16,4,2,4,"true","false",512,64,3.75359185280094e-10
12,4,1,4,"true","false",256,32,4.47888101067063e-10
12,6,16,4,"true","true",64,1,8.29223443062733e-10
2,2,4,2,"true","false",1024,1,7.73248254916041e-10
6,3,8,4,"true","false",256,16,6.49105946320354e-10
4,1,2,2,"true","false",512,8,3.07849860618953e-10
9,3,4,2,"true","false",256,2,2.21233294076482e-10
16,4,2,2,"true","true",256,2,1.58901241644976e-10
10,5,8,2,"true","false",128,8,5.62623711439623e-10
15,5,2,2,"true","true",256,1,1.9414172432414e-10
24,6,2,4,"true","true",128,128,2.6187851634538e-09
4,2,8,2,"true","false",1024,256,2.62155421351368e-09
20,5,16,2,"true","false",64,4,5.93048193247327e-10
8,2,1,2,"true","true",1024,2,2.70261653120837e-10
18,6,16,4,"true","false",128,64,4.4146595769858e-09
12,3,8,2,"true","true",512,16,2.81261872922847e-10
15,5,8,4,"true","false",512,8,3.07082484270352e-10
15,5,16,4,"true","false",256,1,6.1281358963649e-10
12,6,4,4,"true","false",256,8,2.33367734757271e-10
3,1,4,4,"true","true",128,8,5.35815734346849e-10
4,2,1,4,"true","true",1024,8,1.77385010610333e-10
6,6,16,2,"true","false",128,4,1.29040424623892e-09
9,3,8,2,"true","true",1024,4,3.86355476180559e-10
6,3,2,2,"true","true",1024,64,2.63266925732611e-10
12,6,8,4,"true","false",512,512,1.11471465979716e-08
4,1,8,4,"true","false",1024,512,3.48881172581421e-09
16,4,4,4,"true","true",512,2,1.71374938033547e-10
6,6,4,2,"true","false",64,32,4.84245823778913e-09
4,4,16,2,"true","false",128,8,1.89382406975474e-09
6,3,8,4,"true","false",256,8,4.19744019827773e-10
9,3,4,2,"true","true",1024,512,2.31595955885992e-09
12,4,16,2,"true","false",64,2,5.359827766067e-10
5,5,4,2,"true","false",256,8,4.23669536561609e-10
6,3,8,2,"true","false",32,1,4.9524895204758e-10
3,1,4,2,"true","false",32,4,9.24814538957999e-10
12,6,1,4,"true","true",256,256,3.1280461347938e-09
12,4,1,2,"true","false",32,32,2.84093440894604e-09
10,5,4,2,"true","true",1024,4,2.68514197787842e-10
8,2,16,2,"true","true",1024,512,4.47330581518496e-09
3,3,2,4,"true","true",1024,1024,7.2303814030206e-09
20,5,16,2,"true","true",256,64,1.77892401601061e-09
15,5,2,4,"true","false",512,1,2.02398384381221e-10
18,6,1,4,"true","true",512,32,2.58800430564673e-10
6,2,8,2,"true","true",1024,128,9.77367305716152e-10
4,4,4,4,"true","true",128,16,1.32625111677945e-09
12,3,4,2,"true","true",128,4,1.75729297598081e-10
15,5,16,2,"true","false",64,32,4.14279109505211e-09
6,3,8,4,"true","false",512,4,4.14959143268492e-10
6,6,8,4,"true","false",64,32,7.42460541941259e-09
12,4,8,4,"true","true",256,256,5.53675218213378e-09
24,6,4,4,"true","false",512,128,7.1646184090622e-10
8,4,1,4,"true","false",512,2,1.49995361856772e-10
3,3,2,2,"true","true",256,1,2.90396527077105e-10
4,2,16,2,"true","true",64,1,9.21247883312471e-10
6,3,2,4,"true","true",128,1,1.60177151128232e-10
2,2,2,4,"true","false",512,1,3.38476129378713e-10
4,1,4,2,"true","false",64,4,3.98808188716114e-10
24,6,2,4,"true","true",512,16,1.51899469938206e-10
1,1,2,4,"true","false",1024,32,4.53089949552746e-10
2,1,2,2,"true","true",256,4,2.68478582626346e-10
6,2,8,4,"true","true",512,4,3.79108589310558e-10
15,5,4,2,"true","false",512,128,9.45616304747349e-10
8,4,2,2,"true","false",128,2,1.45707850019662e-10
16,4,8,4,"true","true",1024,1,3.36384728365761e-10
2,2,16,4,"true","false",256,4,1.41956945186826e-09
12,6,8,2,"true","false",64,32,3.73794984081183e-09
3,3,16,2,"true","true",64,16,6.68205367924112e-09
4,2,1,4,"true","false",64,16,9.71529181826917e-10
