"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel","point_number","method"
4,2,1,2,"true","true",256,4,1.80536216891147e-10,32,"GR"
24,6,4,4,"true","false",256,16,2.01510987752112e-10,9,"GR"
15,5,2,4,"true","false",128,8,2.83859110131782e-10,17,"GR"
4,2,1,2,"true","true",256,4,1.80536216891147e-10,51,"GR"
24,6,4,2,"true","false",256,4,1.43064682433489e-10,33,"GR"
4,2,1,2,"true","true",128,2,1.80832688533745e-10,37,"GR"
4,2,8,4,"true","true",256,128,4.66662437383981e-09,8,"GR"
12,3,2,2,"true","false",128,2,1.73812692295894e-10,19,"GR"
6,6,1,2,"true","true",1024,2,1.16501321248061e-10,13,"GR"
12,6,2,2,"true","true",1024,512,1.94513034009778e-09,6,"GR"
2,1,2,4,"true","false",1024,512,2.71996074536714e-09,9,"GR"
9,3,4,2,"true","false",128,16,5.34609675661637e-10,17,"GR"
9,3,1,4,"true","true",256,8,1.99785055478382e-10,15,"GR"
16,4,4,4,"true","false",128,2,1.57306422896745e-10,25,"GR"
2,2,1,4,"true","true",512,2,1.58218705557694e-10,24,"GR"
4,2,8,2,"true","false",1024,128,1.37151210638892e-09,9,"GR"
6,2,4,2,"true","true",512,64,6.25206199820605e-10,11,"GR"
9,3,1,4,"true","true",512,2,1.99287010257955e-10,20,"GR"
3,1,1,2,"true","true",128,4,3.29135138106307e-10,19,"GR"
10,5,2,4,"true","false",128,1,1.42279592117531e-10,22,"GR"
6,6,4,4,"true","true",32,8,2.2783914897007e-09,8,"GR"
12,3,4,2,"true","false",64,1,1.73350952378822e-10,17,"GR"
2,2,8,2,"true","false",512,16,8.41832610450644e-10,42,"GR"
12,6,8,2,"true","true",32,16,3.36130875790199e-09,7,"GR"
24,6,16,4,"true","true",128,16,8.92857426546599e-10,8,"GR"
20,5,4,4,"true","false",128,4,1.49704263241121e-10,17,"GR"
2,1,1,2,"true","true",256,32,7.37336794419034e-10,11,"GR"
5,5,4,4,"true","false",512,128,2.71855977873494e-09,9,"GR"
24,6,1,4,"true","false",256,32,3.43980212169553e-10,8,"GR"
9,3,2,4,"true","true",64,2,2.27984973366177e-10,9,"GR"
16,4,2,4,"true","false",256,16,2.18109840189672e-10,25,"GR"
6,2,1,4,"true","false",512,256,1.9207312497287e-09,8,"GR"
12,3,4,2,"true","true",64,1,1.73564729671051e-10,19,"GR"
2,1,8,2,"true","true",32,16,6.59088131810901e-09,10,"GR"
16,4,4,4,"true","false",128,2,1.57306422896745e-10,28,"GR"
12,6,1,2,"true","false",256,64,7.46412049703883e-10,8,"GR"
10,5,2,4,"true","false",256,2,1.41321341327822e-10,37,"GR"
8,2,4,4,"true","true",128,2,2.07422190100595e-10,19,"GR"
3,3,8,2,"true","true",128,16,2.1267384683418e-09,9,"GR"
12,6,4,2,"true","false",1024,256,1.68622327721223e-09,7,"GR"
18,6,1,2,"true","true",64,2,1.65778334083565e-10,15,"GR"
20,5,2,2,"true","true",256,2,1.52458337017557e-10,21,"GR"
2,2,1,2,"true","true",256,4,1.55549103506316e-10,52,"GR"
4,4,1,4,"true","false",512,8,1.25366521299284e-10,39,"GR"
4,2,2,4,"true","false",1024,16,1.74656387410887e-10,45,"GR"
4,4,1,4,"true","false",256,2,1.25602448835109e-10,20,"GR"
8,2,4,4,"true","true",256,64,8.49338034155011e-10,10,"GR"
12,6,2,4,"true","false",64,8,3.65521275980193e-10,9,"GR"
5,5,1,4,"true","true",128,8,1.97795430247549e-10,8,"GR"
18,6,4,2,"true","false",256,1,1.82091761630176e-10,27,"GR"
9,3,4,2,"true","true",128,16,5.36436698311217e-10,17,"GR"
3,3,1,2,"true","false",256,8,1.38288211503708e-10,40,"GR"
16,4,2,2,"true","false",512,16,1.68493466727757e-10,9,"GR"
4,2,2,2,"true","true",1024,8,1.74376790866456e-10,53,"GR"
6,6,1,2,"true","false",256,4,1.17149348789584e-10,24,"GR"
3,3,1,4,"true","false",512,2,1.35341152549115e-10,45,"GR"
10,5,2,2,"true","true",512,2,1.45822313802084e-10,26,"GR"
9,3,16,2,"true","false",128,16,1.28915143032699e-09,8,"GR"
24,6,4,2,"true","false",64,1,1.42216872824127e-10,29,"GR"
3,1,2,4,"true","false",128,32,1.60784414888081e-09,11,"GR"
8,4,8,2,"true","false",512,16,4.01435376906076e-10,9,"GR"
12,4,1,4,"true","true",128,4,1.84388958054149e-10,9,"GR"
18,6,1,4,"true","false",128,64,1.46177249044272e-09,6,"GR"
5,5,4,2,"true","false",512,32,7.03257508733986e-10,9,"GR"
4,2,2,4,"true","false",128,4,1.89049571188287e-10,20,"GR"
12,6,2,2,"true","true",128,4,1.36248697593805e-10,24,"GR"
4,2,16,4,"true","false",32,16,7.62339495727477e-09,7,"GR"
4,1,16,2,"true","true",1024,256,2.9477476068582e-09,9,"GR"
8,2,4,4,"true","false",512,4,2.07668615016469e-10,19,"GR"
6,3,2,2,"true","false",1024,8,1.53473671916505e-10,9,"GR"
8,4,2,2,"true","false",512,2,1.46493432714894e-10,22,"GR"
12,3,1,4,"true","true",256,8,1.75905166802443e-10,50,"GR"
10,5,16,2,"true","false",256,32,1.7391431790951e-09,8,"GR"
4,4,1,2,"true","true",512,2,1.26998171643399e-10,7,"GR"
10,5,8,4,"true","true",128,4,3.58023587736973e-10,16,"GR"
3,1,16,2,"true","true",1024,256,3.84371214296408e-09,9,"GR"
24,6,2,2,"true","false",64,4,1.96801720053333e-10,16,"GR"
12,6,8,4,"true","true",128,8,5.46745188677688e-10,17,"GR"
3,1,2,2,"true","false",1024,32,3.83197154984260e-10,10,"GR"
3,3,1,2,"true","false",256,4,1.36478520881495e-10,16,"GR"
4,4,1,4,"true","false",512,8,1.25366521299284e-10,44,"GR"
6,2,2,4,"true","false",1024,128,6.75902887858881e-10,10,"GR"
2,2,1,4,"true","false",256,64,9.49609228063989e-10,18,"GR"
6,2,1,2,"true","true",256,8,2.29487127535966e-10,10,"GR"
9,3,1,2,"true","true",512,4,1.98408414891747e-10,30,"GR"
2,1,2,2,"true","true",128,2,2.69262520295719e-10,42,"GR"
9,3,16,2,"true","true",1024,256,2.79407739400817e-09,5,"GR"
6,6,1,2,"true","true",256,8,1.19422931122937e-10,16,"GR"
15,5,1,4,"true","true",512,8,1.77878450011805e-10,14,"GR"
20,5,2,4,"true","false",128,4,1.49566703992746e-10,25,"GR"
10,5,4,4,"true","true",128,32,1.22708069206359e-09,9,"GR"
6,3,8,4,"true","false",512,128,2.23163414364525e-09,8,"GR"
6,3,4,2,"true","true",1024,256,1.6472268919873e-09,9,"GR"
12,4,4,4,"true","true",256,8,2.085301812939e-10,19,"GR"
6,6,1,2,"true","true",256,1,1.17919974204394e-10,26,"GR"
9,3,1,2,"true","false",256,2,1.98117109228222e-10,46,"GR"
24,6,4,2,"true","true",256,4,1.43377486488586e-10,17,"GR"
4,2,2,2,"true","true",256,2,1.82495430741438e-10,40,"GR"
8,2,2,2,"true","true",256,2,2.05429010090939e-10,37,"GR"
5,5,2,4,"true","true",32,16,2.70131353630714e-09,7,"GR"
2,1,2,4,"true","true",1024,8,2.498764907697e-10,55,"GR"
24,6,4,4,"true","false",128,4,1.44253714063152e-10,25,"GR"
10,5,2,4,"true","false",256,2,1.41321341327822e-10,22,"GR"
12,6,8,2,"true","true",1024,32,4.28392985383611e-10,5,"GR"
4,2,1,2,"true","false",128,4,1.82042982321722e-10,69,"GR"
24,6,4,2,"true","false",512,16,1.56095501998794e-10,9,"GR"
18,6,8,4,"true","false",32,8,1.21057953745385e-09,8,"GR"
8,4,2,2,"true","true",128,4,1.4493093093373e-10,25,"GR"
8,2,4,2,"true","false",256,2,2.05412034834989e-10,52,"GR"
12,3,2,2,"true","false",128,2,1.73812692295894e-10,36,"GR"
8,2,1,4,"true","false",256,128,1.62440534379406e-09,7,"GR"
4,2,2,2,"true","false",1024,16,1.7612042431899e-10,31,"GR"
15,5,4,2,"true","true",512,4,1.93928903789943e-10,17,"GR"
6,6,1,2,"true","true",1024,16,1.20103281224236e-10,25,"GR"
10,5,8,2,"true","true",256,16,5.71074429664838e-10,9,"GR"
2,2,4,4,"true","true",128,8,9.54891851498607e-10,10,"GR"
6,6,8,4,"true","false",32,8,3.402804978385e-09,8,"GR"
