"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel","point_number","method"
2,2,1,2,"true","true",256,4,1.55549103506316e-10,43,"GRM"
20,5,4,4,"true","true",128,1,1.48373401207609e-10,26,"GRM"
6,6,1,2,"true","false",256,4,1.17149348789584e-10,52,"GRM"
3,3,1,4,"true","false",512,2,1.35341152549115e-10,35,"GRM"
4,4,1,2,"true","false",128,4,1.28025322109481e-10,22,"GRM"
4,4,1,4,"true","false",128,2,1.25109511762482e-10,52,"GRM"
24,6,4,2,"true","true",256,4,1.43377486488586e-10,27,"GRM"
2,1,2,2,"true","true",1024,8,2.50807208898201e-10,52,"GRM"
12,6,1,2,"true","true",256,2,1.36286375373921e-10,21,"GRM"
6,6,1,2,"true","true",256,1,1.17919974204394e-10,39,"GRM"
4,4,1,2,"true","false",512,16,1.30082949623258e-10,15,"GRM"
12,6,4,2,"true","false",64,2,2.32468275738666e-10,7,"GRM"
20,5,2,4,"true","false",128,4,1.49566703992746e-10,31,"GRM"
4,4,1,4,"true","true",512,2,1.23999015246297e-10,45,"GRM"
5,5,1,4,"true","false",512,16,1.24692240135041e-10,15,"GRM"
