"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel"
2,2,16,2,"true","false",64,32,1.51995427327064e-08
12,6,8,2,"true","true",32,32,7.1117192973122e-09
24,6,16,4,"true","true",128,32,1.65919533302764e-09
20,5,4,4,"true","false",64,8,3.47803368492772e-10
2,1,1,2,"true","true",256,64,1.39014222257365e-09
5,5,4,4,"true","false",512,256,5.57955882987522e-09
24,6,1,4,"true","false",256,64,6.7494494023232e-10
9,3,2,4,"true","true",64,4,3.27665348261189e-10
16,4,2,4,"true","false",64,32,1.31222837264098e-09
6,2,1,4,"true","false",512,512,3.7612325745896e-09
12,3,8,2,"true","true",64,2,2.52749504480976e-10
2,1,8,2,"true","true",32,32,1.29602999932374e-08
16,4,2,4,"true","false",32,1,1.75095451084094e-10
12,6,1,2,"true","false",256,128,1.51617681974052e-09
10,5,1,2,"true","false",64,2,1.46386719393815e-10
8,2,8,4,"true","true",128,4,3.01931711055504e-10
3,3,8,2,"true","true",128,32,4.05929205357095e-09
12,6,4,2,"true","false",1024,512,3.36178522852845e-09
18,6,1,2,"true","false",64,2,1.67111112166025e-10
20,5,2,2,"true","true",1024,1,2.05673577525589e-10
2,2,16,2,"true","true",128,4,1.31978286801245e-09
4,4,8,4,"true","true",512,16,6.7831916253366e-10
4,2,8,4,"true","false",256,16,7.51653720882067e-10
4,4,2,2,"true","false",256,1,2.62026973404291e-10
8,2,4,4,"true","true",256,128,1.62222124481642e-09
12,6,2,4,"true","false",64,16,7.00627605782498e-10
5,5,1,4,"true","true",128,16,3.58898174028281e-10
18,6,4,4,"true","false",1024,1,2.33753373752473e-10
9,3,4,2,"true","true",64,32,1.87795743536001e-09
3,3,4,2,"true","false",64,16,2.74664940238054e-09
16,4,2,2,"true","false",512,32,2.26235490844712e-10
4,2,8,4,"true","true",256,8,4.93499760350083e-10
6,6,4,2,"true","false",256,4,4.08131413542504e-10
3,3,16,4,"true","false",256,4,1.30569741273183e-09
10,5,16,2,"true","true",512,1,9.64210852828031e-10
9,3,16,2,"true","false",128,32,2.33358469288053e-09
24,6,8,2,"true","false",256,1,2.34558846174558e-10
3,1,2,4,"true","false",128,64,3.06249390532237e-09
8,4,8,2,"true","false",512,32,6.11938397831668e-10
