"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel","run","point_number","method"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,81,119,"RQ"
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,82,119,"RQ"
4,4,1,4,"true","false",512,8,1.25366521299284e-10,83,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,84,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,85,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,86,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,87,119,"RQ"
3,3,1,2,"true","false",1024,4,1.36603833125993e-10,88,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,89,119,"RQ"
4,4,1,4,"true","false",1024,4,1.25778542785017e-10,90,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,91,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,92,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,93,119,"RQ"
6,6,1,2,"true","true",512,4,1.1835008391896e-10,94,119,"RQ"
24,6,1,4,"true","false",1024,8,1.75769318569462e-10,95,119,"RQ"
4,4,1,4,"true","false",1024,4,1.25778542785017e-10,96,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,97,119,"RQ"
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,98,119,"RQ"
6,6,1,2,"true","true",1024,4,1.17842155236017e-10,99,119,"RQ"
24,6,1,2,"true","false",32,1,1.62821242616163e-10,100,119,"RQ"
