"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel","run","best","point_number","method","slowdown"
24,6,1,4,"true","true",1024,8,1.7607829667075e-10,56,1.18746991977228e-10,119,"LM",1.51138454726907
6,6,1,4,"true","true",1024,4,1.18152943056837e-10,57,1.17842155236017e-10,119,"LM",1.01417685045184
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,58,1.36548767259252e-10,119,"LM",1.17207913005986
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,59,1.24692240135041e-10,119,"LM",1.17207913005986
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,60,1.17642516833282e-10,119,"LM",1.00979555916616
4,4,1,4,"true","false",1024,8,1.25784000386163e-10,61,1.24992786636709e-10,119,"LM",1.07967874560269
1,1,1,4,"true","true",1024,8,2.40470678691862e-10,62,1.1931257630123e-10,119,"LM",2.06410258798557
4,4,1,4,"true","true",1024,8,1.24992786636709e-10,63,1.24220644460169e-10,119,"LM",1.07288728829579
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,64,1.17642516833282e-10,119,"LM",1.00979555916616
2,2,1,2,"true","true",1024,8,1.60639896867188e-10,65,1.25947020865076e-10,119,"LM",1.37886759691887
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,66,1.36548767259252e-10,119,"LM",1.17207913005986
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,67,1.36286375373921e-10,119,"LM",1.17207913005986
1,1,1,4,"true","false",1024,4,2.38714976907871e-10,68,1.17732534790262e-10,114,"LM",2.04903235732053
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,69,1.36428267521488e-10,119,"LM",1.17207913005986
2,2,1,2,"true","false",1024,4,1.60303866149281e-10,70,1.27175815907958e-10,119,"LM",1.37598324578613
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,71,1.17642516833282e-10,119,"LM",1.00979555916616
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,72,1.36548767259252e-10,119,"LM",1.17207913005986
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,73,1.3540030760049e-10,119,"LM",1.17207913005986
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,74,1.23999015246297e-10,114,"LM",1.17207913005986
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,75,1.17642516833282e-10,119,"LM",1.00979555916616
2,2,1,2,"true","true",1024,4,1.61042728080753e-10,76,1.19886821794317e-10,119,"LM",1.38232533636122
4,4,1,4,"true","false",1024,8,1.25784000386163e-10,77,1.24992786636709e-10,119,"LM",1.07967874560269
4,4,1,4,"true","true",1024,8,1.24992786636709e-10,78,1.24992786636709e-10,119,"LM",1.07288728829579
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,79,1.36548767259252e-10,119,"LM",1.17207913005986
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,80,1.17642516833282e-10,119,"LM",1.00979555916616
1,1,1,4,"true","true",1024,8,2.40470678691862e-10,81,1.1931608789437e-10,119,"LM",2.06410258798557
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,82,1.17642516833282e-10,119,"LM",1.00979555916616
6,6,1,2,"true","true",1024,8,1.18235071768955e-10,83,1.17642516833282e-10,119,"LM",1.01488180994275
4,4,1,4,"true","false",1024,8,1.25784000386163e-10,84,1.24992786636709e-10,119,"LM",1.07967874560269
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,85,1.17642516833282e-10,119,"LM",1.00979555916616
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,86,1.17642516833282e-10,119,"LM",1.00979555916616
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,87,1.17642516833282e-10,119,"LM",1.00979555916616
3,3,1,2,"true","true",1024,16,1.39528091700916e-10,88,1.36603833125993e-10,119,"LM",1.19765244038585
5,5,1,4,"true","false",1024,8,1.23934836150301e-10,89,1.21549064031158e-10,119,"LM",1.06380627123028
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,90,1.17642516833282e-10,119,"LM",1.00979555916616
6,6,1,2,"true","true",1024,8,1.18235071768955e-10,91,1.17642516833282e-10,119,"LM",1.01488180994275
4,4,1,4,"true","false",1024,8,1.25784000386163e-10,92,1.24992786636709e-10,119,"LM",1.07967874560269
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,93,1.16501321248061e-10,119,"LM",1.00979555916616
6,6,1,2,"true","true",1024,8,1.18235071768955e-10,94,1.17642516833282e-10,119,"LM",1.01488180994275
6,6,1,2,"true","true",1024,8,1.18235071768955e-10,95,1.17642516833282e-10,119,"LM",1.01488180994275
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,96,1.17642516833282e-10,119,"LM",1.00979555916616
5,5,1,4,"true","false",1024,8,1.23934836150301e-10,97,1.22360757184054e-10,119,"LM",1.06380627123028
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,98,1.17149348789584e-10,119,"LM",1.00979555916616
2,2,1,2,"true","true",1024,8,1.60639896867188e-10,99,1.37167749817361e-10,119,"LM",1.37886759691887
6,6,1,4,"true","true",1024,4,1.18152943056837e-10,100,1.17842155236017e-10,114,"LM",1.01417685045184
