"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel","run"
4,4,2,2,"true","true",32,32,5.67435170144307e-09,3
12,3,16,2,"true","true",256,32,1.00195506017485e-09,3
16,4,2,4,"true","true",64,2,1.61574160777351e-10,3
20,5,1,4,"true","true",32,8,6.27543587624095e-10,3
4,4,8,4,"true","false",128,1,6.74561758049931e-10,3
16,4,1,4,"true","false",32,32,2.4382479243422e-09,3
6,3,2,2,"true","true",1024,256,9.15226444419296e-10,3
9,3,1,4,"true","true",32,1,2.33181124720693e-10,3
8,2,2,4,"true","false",64,1,2.07317273761215e-10,3
6,2,1,2,"true","true",64,8,5.55574466602038e-10,3
9,3,1,4,"true","true",512,1,2.09341889364049e-10,3
3,3,16,4,"true","true",512,256,1.50902861422498e-08,3
12,3,2,2,"true","true",256,2,1.74586160783359e-10,3
2,1,16,2,"true","false",1024,1,1.50094250993287e-09,3
6,2,4,2,"true","false",1024,16,3.20995402335396e-10,3
4,4,1,2,"true","false",512,4,1.32611049989326e-10,3
16,4,1,4,"true","false",1024,128,4.08823945263764e-10,3
18,6,4,2,"true","false",128,16,4.52874431243716e-10,3
8,4,2,2,"true","false",512,64,4.18234090943799e-10,3
4,2,8,2,"true","false",64,32,4.69050271776691e-09,3
4,1,2,2,"true","false",512,2,3.13882150074621e-10,3
6,2,2,2,"true","false",512,8,2.62726519658653e-10,3
4,2,16,4,"true","false",256,2,8.08710253213648e-10,3
4,4,8,2,"true","true",128,2,6.58323740390065e-10,3
5,5,1,4,"true","true",64,1,1.32387830699178e-10,3
16,4,1,2,"true","false",128,2,1.60157934887684e-10,3
4,4,4,4,"true","false",256,256,1.08500885270001e-08,3
3,1,1,2,"true","true",32,1,4.10563859824852e-10,3
8,2,16,2,"true","true",1024,16,6.40631792851812e-10,3
10,5,1,2,"true","false",1024,1024,4.14792973906932e-09,3
4,1,2,4,"true","false",64,4,3.97702006807584e-10,3
15,5,16,2,"true","false",256,64,2.32238575138552e-09,3
15,5,1,2,"true","true",128,32,7.39164308852222e-10,3
6,3,2,4,"true","true",32,1,2.21560391675969e-10,3
12,4,2,4,"true","true",256,1,2.07670906259778e-10,3
12,6,4,4,"true","false",1024,1024,7.38392856425383e-09,3
12,3,16,2,"true","true",256,1,4.6152426244636e-10,3
20,5,2,4,"true","false",256,4,1.49834652638032e-10,3
5,5,16,2,"true","true",512,32,2.04910915229057e-09,3
