"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel","run"
4,1,16,2,"true","true",256,8,7.32996294276481e-10,1
4,1,16,2,"true","true",128,4,7.28339884560439e-10,1
8,4,16,4,"true","false",32,32,1.20494629310176e-08,1
12,6,8,2,"true","true",512,4,3.62352771475228e-10,1
6,2,1,4,"true","true",128,1,2.32159420396103e-10,1
9,3,16,4,"true","true",256,2,5.31516527247014e-10,1
8,2,1,4,"true","true",64,8,4.59719793213182e-10,1
24,6,2,4,"true","false",32,4,3.30796023547604e-10,1
2,2,4,2,"true","true",1024,256,3.4703635214941e-09,1
8,2,4,4,"true","false",1024,32,2.56691211183851e-10,1
24,6,4,4,"true","true",32,8,6.05859940096835e-10,1
6,2,16,4,"true","true",512,128,2.73649809275749e-09,1
3,1,4,4,"true","true",64,4,5.52526534028413e-10,1
3,3,2,2,"true","false",1024,2,2.86321437490484e-10,1
8,2,2,2,"true","false",1024,4,2.56928076894007e-10,1
16,4,16,2,"true","false",512,512,8.53122427671609e-09,2
18,6,4,4,"true","false",1024,16,2.26161406354457e-10,2
18,6,16,2,"true","false",256,1,6.01092772653675e-10,2
16,4,4,4,"true","true",256,4,1.6171133481285e-10,2
1,1,8,4,"true","true",64,32,1.32050068244709e-08,2
16,4,4,2,"true","false",1024,8,1.97326009139868e-10,2
6,2,8,2,"true","false",32,8,1.66330560269138e-09,2
20,5,4,2,"true","false",128,4,1.49116436529261e-10,2
2,1,8,4,"true","true",32,4,1.86970048328098e-09,2
4,1,8,4,"true","true",32,4,9.92119913347363e-10,2
24,6,8,2,"true","false",256,128,2.06521170881126e-09,2
12,4,8,2,"true","true",128,64,2.62879504833847e-09,2
4,2,8,2,"true","false",256,64,2.40098952085704e-09,2
1,1,8,4,"true","false",64,32,1.32226067026377e-08,2
12,6,4,2,"true","true",64,16,1.20450808740492e-09,2
4,1,1,2,"true","false",1024,64,3.96961760807533e-10,2
6,3,4,2,"true","true",64,1,3.04230470680593e-10,2
9,3,1,4,"true","false",256,1,1.98499975299599e-10,2
8,2,8,4,"true","false",512,1,3.42249936313808e-10,2
16,4,1,2,"true","true",512,32,2.2314720161422e-10,2
8,2,8,2,"true","false",1024,4,3.87049032495944e-10,2
10,5,8,4,"true","true",64,8,9.8447331426693e-10,2
10,5,4,4,"true","true",128,8,3.7835558623446e-10,2
1,1,16,4,"true","false",128,8,3.19876573086551e-09,2
4,2,16,4,"true","false",256,256,1.54250944764659e-08,2
10,5,4,4,"true","false",32,2,4.04157166898781e-10,2
18,6,8,4,"true","true",256,128,2.734328611547e-09,2
4,2,1,4,"true","true",64,4,2.97404854379157e-10,2
16,4,2,2,"true","true",128,2,1.63943502495422e-10,2
4,4,2,2,"true","true",256,8,2.72996307327811e-10,2
5,5,8,2,"true","false",64,32,7.34634678051418e-09,2
20,5,4,2,"true","true",512,32,2.13888336184871e-10,2
9,3,16,4,"true","false",256,8,5.56960717431343e-10,2
1,1,8,2,"true","true",1024,4,1.5585728778721e-09,2
9,3,8,4,"true","false",512,4,3.28879539993194e-10,2
8,4,4,4,"true","false",256,8,2.61569932981423e-10,2
1,1,1,2,"true","true",512,256,2.69550377095144e-09,2
18,6,2,2,"true","false",256,1,1.86832294672104e-10,2
3,1,4,2,"true","true",512,64,8.88539204788727e-10,2
20,5,4,2,"true","false",1024,4,1.90380452121864e-10,2
3,3,8,4,"true","true",256,16,1.1867740377524e-09,2
4,2,2,2,"true","false",1024,1,2.0297682756379e-10,2
8,4,16,2,"true","true",256,256,1.50674831842462e-08,2
6,3,8,4,"true","false",128,128,8.32232914174759e-09,2
9,3,1,2,"true","true",1024,256,9.80319750258818e-10,2
10,5,16,2,"true","true",512,64,1.93915210323835e-09,2
